count,guc,exposure,year,gsi_band,agency_indicator,usage,new_renewal,gender,country_origin,clean_make,cover,driver_age_band,leasing,vehicle_type,veh_age,excess_band,source_of_business,claim_type,gross_claim,claim_count,ultimate_inflated_claims,ncd,ncd_discount,agg_indicator,vehicle_color,business_activity,offset_exposure,offset_total
0,0,0.93972602739726,2021,50000,NON_AGENCY,PRIVATE CAR,NEW,MALE,USA,FORD,RIYADH,25_to_35,NON-LEASING,Sedan,5+,500_to_750,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-6.216691e-02,-6.21669064165516e-02
0,0,0.936986301369863,2021,30000,NON_AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,SOUTH,25_to_35,NON-LEASING,Sedan,5+,0_to_500,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-6.508662e-02,-6.50866165198862e-02
0,0,0.90958904109589,2021,200000,AGENCY,PRIVATE CAR,NEW,MALE,USA,OTHERS,RIYADH,21_to_25,NON-LEASING,Jeeps_4x4,1_to_2,750_to_1000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-9.476238e-02,-9.47623846660029e-02
0,0,0.936986301369863,2021,30000,NON_AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,MAZDA,JEDDAH,25_to_35,NON-LEASING,Sedan,5+,0_to_500,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,White,OTHERS,-6.508662e-02,-6.50866165198862e-02
0,0,0.936986301369863,2021,30000,NON_AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,ISUZU,JEDDAH,25_to_35,NON-LEASING,Sedan,5+,750_to_1000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,White,OTHERS,-6.508662e-02,-6.50866165198864e-02
0,0,0.934246575342466,2021,200000,AGENCY,PRIVATE CAR,NEW,MALE,USA,OTHERS,RIYADH,35_to_45,NON-LEASING,Jeeps_4x4,0_to_1,750_to_1000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-6.801488e-02,-6.80148762989747e-02
0,0,0.931506849315069,2021,100000,AGENCY,PRIVATE CAR,NEW,FEMALE,JAPAN,MAZDA,KHOBAR&DAMMAM,25_to_35,NON-LEASING,Jeeps_4x4,0_to_1,750_to_1000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-7.095174e-02,-7.09517359722842e-02
0.958904109589041,166.260077785987,0.931506849315068,2021,30000,NON_AGENCY,PRIVATE CAR,NEW,FEMALE,USA,CHEVROLET,RIYADH,25_to_35,NON-LEASING,Sedan,1_to_2,0_to_500,Direct,,149.799999999999,1,703.711455523045,NCD_11,0,NON-AGGREGATOR,Purple,,-7.095174e-02,-7.09517359722845e-02
0,0,0.931506849315068,2021,50000,NON_AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,OTHERS,RIYADH,25_to_35,NON-LEASING,Sedan,5+,500_to_750,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-7.095174e-02,-7.09517359722845e-02
0,0,0.928767123287671,2021,50000,NON_AGENCY,PRIVATE CAR,NEW,MALE,USA,FORD,WESTERN,25_to_35,NON-LEASING,Jeeps_4x4,5+,500_to_750,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-7.389724e-02,-7.38972462020412e-02
0,0,0.928767123287671,2021,100000,NON_AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,MAZDA,RIYADH,35_to_45,NON-LEASING,Sedan,4_to_5,750_to_1000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-7.389724e-02,-7.38972462020412e-02
